155  ;V* VZ Cyg                          ;cC*;21 51 41.4416202624 +43 08 02.542086024;     ~   ;10.02    ;8.60     ;     ~   ;7.948    ;G0                    ; 168;   0,
156  ;G 215-12                           ;PM*;21 44 53.9917638996 +44 17 08.908708169;     ~   ;12.61    ;11.342   ;10.919   ;9.25     ;M2+V                  ;  41;   0,
157  ;G 212-58                           ;EB*;21 47 39.6436544089 +45 07 33.391655343;     ~   ;14.9     ;     ~   ;13.180   ;     ~   ;M4.05                 ;  14;   0,
158  ;GSC 03192-00124                    ;** ;21 48 57.7848822960 +42 54 14.651020080;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~                     ;   0;   1,
159  ;V* SS Cyg                          ;CV*;21 42 42.8034497592 +43 35 09.867842484;11.07    ;12.651   ;12.032   ;9.326    ;     ~   ;K5V                   ;1280;   1,
160  ;V* V443 Lac                        ;Ro*;22 02 05.3896749096 +44 20 35.403583740;     ~   ;8.64     ;7.94     ;     ~   ;     ~   ;G5                    ;  55;   0,
161  ;UGC 11923                          ;AG?;22 08 51.540 +44 32 23.54              ;     ~   ;16.0     ;     ~   ;     ~   ;     ~   ;~                     ;  19;   0,
162  ;G 215-21                           ;PM*;21 54 40.7306738032 +44 43 16.860067132;     ~   ;15.7     ;     ~   ;13.8     ;     ~   ;~                     ;  11;   0,
163  ;HD 210731                          ;*  ;22 11 21.1962706056 +47 08 52.579287528;     ~   ;7.97     ;7.39     ;     ~   ;     ~   ;F8                    ;  33;   0,
164  ;NGC 7231                           ;GiG;22 12 30.117 +45 19 42.43              ;     ~   ;14.0     ;     ~   ;     ~   ;     ~   ;~                     ;  54;   0,
165  ;V* AR Lac                          ;RS*;22 08 40.8182089680 +45 44 32.107863120;7.09     ;6.83     ;6.11     ;     ~   ;     ~   ;K0IVe+G5IV            ; 718;   0,
166  ;BD+45 3901                         ;PM*;22 22 08.0639630880 +46 10 54.579592560;     ~   ;     ~   ;     ~   ;8.2      ;     ~   ;G5                    ;   8;   0,
167  ;HD 212107                          ;PM*;22 20 51.4608264264 +46 03 44.082968184;     ~   ;7.89     ;7.42     ;     ~   ;     ~   ;F5                    ;  22;   0,
