star_name,star_alternate_names
K2-227,"2MASS J12434764-0828416, EPIC 228760097, TYC 5528-456-1, WISE J124347.62-082842.1"
K2-228,"2MASS J12291074-0650033, EPIC 228798746, WISE J122910.73-065003.2"
K2-229,"2MASS J12272958-0643188, EPIC 228801451, TYC 4947-834-1, WISE J122729.52-064318.6"
K2-22,"EPIC 201637175, K2-22, 2MASS J11175587+0237086, EPIC 201637175 A, K2-22 A, WISE J111755.84+023708.4"
K2-230,"2MASS J12452717-0634340, EPIC 228804845, WISE J124527.15-063433.7"
K2-231,"2MASS J19162203-1546159, EPIC 219800881, WISE J191622.03-154616.4"
K2-232,"2MASS J04550395+1839164, BD+18 753, EPIC 247098361, GSC 01284-00745, HD 286123, TYC 1284-745-1, WISE J045504.00+183915.8"
K2-233,"EPIC 249622103, 2MASS J15215519-2013539, TYC 6179-186-1, WISE J152155.18-201354.2"
K2-237,"EPIC 229426032, 2MASS 6550453-2842380, 2MASS J16550453-2842380, WISE J165504.52-284238.0"
K2-238,"2MASS J23104905-0751270, EPIC 246067459, WISE J231049.06-075127.2"
K2-239,"K2-239, 2MASS J10422263+0426287, EPIC 248545986, WISE J104222.60+042628.8"
K2-240,"K2-240, 2MASS J15112391-1752307, EPIC 249801827, WISE J151123.86-175231.2"
K2-241,"2MASS J12045739-0648180, EPIC 201092629, TYC 4945-555-1, WISE J120457.32-064818.7"
K2-242,"2MASS J11592060-0631042, EPIC 201102594"
K2-243,"2MASS J12042913-0453572, EPIC 201166680, TYC 4942-667-1, WISE J120429.09-045356.9"
K2-244,"2MASS J12135253-0349547, EPIC 201211526, TYC 4943-726-1, WISE J121352.49-034954.7"
K2-245,"2MASS J12204359-0135271, EPIC 201357643, WISE J122043.58-013527.2"
K2-246,"2MASS J12063112-0109379, EPIC 201386739, WISE J120631.10-010938.0"
K2-247,"2MASS J12353448-1004091, EPIC 228725791, WISE J123534.44-100409.2"
K2-248,"2MASS J12111613-0924503, EPIC 228739306, WISE J121116.14-092450.7"
K2-249,"2MASS J12132801-0859425, EPIC 228748383, TYC 5519-433-1, WISE J121328.01-085942.7"
K2-24,"EPIC 203771098, 2MASS 16101770-2459251, 2MASS J16101770-2459251, TYC 6784-837-1, WISE J161017.64-245925.8"
K2-250,"2MASS J12200763-0858328, EPIC 228748826, WISE J122007.58-085832.6"
K2-251,"2MASS J12424541-0832094, EPIC 228758778, WISE J124245.41-083209.3"
K2-252,"2MASS J12092792-0818342, EPIC 228763938, WISE J120927.92-081834.5"
K2-253,"2MASS J12242051-0622439, EPIC 228809550, WISE J122420.48-062244.1"
K2-254,"2MASS J12221217-0443019, EPIC 228849382, WISE J122212.18-044302.1"
K2-255,"2MASS J12393912-0322138, EPIC 228894622, WISE J123939.09-032213.9"
K2-257,"2MASS J12330683-0157113, EPIC 228974324, WISE J123306.80-015711.7"
K2-258,"2MASS J12303152-0109391, EPIC 229017395, WISE J123031.53-010939.3"
K2-259,"2MASS J12271264+0134005, EPIC 229131722, WISE J122712.64+013400.6"
K2-25,"2MASS J04130560+1514520, EPIC 210490365, WISE J041305.70+151451.7"
K2-260,"K2-260, 2MASS J05072816+1652037, EPIC 246911830, WISE J050728.15+165203.7"
K2-261,"EPIC 201498078, 2MASS J10520778+0029359, TYC 255-257-1, WISE J105207.76+002935.6"
K2-263,"2-MASS J08384378+1540503, EPIC211682544, 2MASS J08384378+1540503, EPIC 211682544, WISE J083843.73+154050.2"
K2-264,"2MASS J08452605+1941544, K2-264, EPIC 211964830, WISE J084526.01+194154.3"
K2-265,"2MASS J22480755-1429407, EPIC 206011496, TYC 5818-486-1, WISE J224807.58-142941.1"
K2-266,"2MASS J10314450+0056152, EPIC 248435473, EPIC 248435473 A, K2-266 A, WISE J103144.54+005614.5"
K2-268,"2MASS J08545028+1150537, EPIC 211413752, WISE J085450.28+115053.7"
K2-269,"2MASS J08403726+1300527, EPIC 211491383, TYC 805-136-1, WISE J084037.24+130052.8"
K2-26,"2MASS J06164957+2435470, EPIC 202083828, WISE J061649.55+243545.5"
K2-270,"2MASS J08450398+1332594, EPIC 211529065, WISE J084503.97+133259.2"
K2-271,"2MASS J08205372+1605274, EPIC 211713099, WISE J082053.73+160527.0"
K2-272,"2MASS J08502906+1732328, EPIC 211816003, WISE J085029.07+173232.6"
K2-273,"2MASS J08390649+1900360, EPIC 211919004, WISE J083906.46+190036.0"
K2-274,"2MASS J08370778+2023577, EPIC 212008766, WISE J083707.77+202357.4"
K2-275,"2MASS J08484077+2027182, EPIC 212012119, WISE J084840.76+202718.0"
K2-276,"2MASS J08234865+2238024, EPIC 212130773, WISE J082348.67+223802.2"
K2-277,"2MASS J13280398-1556162, EPIC 212357477, TYC 6121-773-1, WISE J132803.91-155616.5"
K2-278,"2MASS J13331242-1430146, EPIC 212418133, WISE J133312.44-143014.7"
K2-279,"2MASS J13390713-0602293, EPIC 212782836, TYC 4972-1090-1, WISE J133907.05-060230.1"
K2-27,"EPIC 201546283, 2MASS J11260363+0113505, K2-27 B, WISE J112603.64+011350.2"
K2-280,"2MASS J19262288-2214514, EPIC 216494238, WISE J192622.88-221451.6"
K2-281,"2MASS J01045457+0716093, EPIC 220522262, WISE J010454.58+071609.2"
K2-282,"2MASS J00534368+0759432, EPIC 220554210, WISE J005343.70+075943.0"
K2-283,"2MASS J00524666+0941345, EPIC 220629489, WISE J005246.64+094134.4"
K2-284,"2MASS J05163376+2015184, EPIC 247267267, WISE J051633.78+201517.9"
K2-285,"EPIC 246471491, 2MASS J23173222+0118010, WISE J231732.23+011800.6"
K2-286,"2MASS J15332868-1646234, EPIC 249889081, WISE J153328.73-164624.7"
K2-287,"EPIC 249451861, 2MASS J15321784-2221297, TYC 6196-185-1, WISE J153217.84-222129.9"
K2-288B,
K2-289,"2MASS J16263433-1547326, EPIC 205686202, WISE J162634.31-154732.9"
K2-28,"EPIC 20631837, 2MASS J22222988-0757195, EPIC 206318379, LP 700-6, WISE J222229.68-075721.8"
K2-290,"EPIC 249624646, 2MASS J15392585-2011557, TYC 6193-663-1, WISE J153925.88-201155.9"
K2-291,"EPIC 247418783, 2MASS J05054699+2132552, HD 285181, TYC 1294-1233-1, WISE J050547.01+213254.0"
K2-292,"HD 119130, 2MASS J13413030-0956459, EPIC 212628254, TYC 5546-1055-1, WISE J134130.24-095645.8"
K2-293,"EPIC 246151543, 2MASS J23262549-0601404, WISE J232625.54-060140.4"
K2-294,"EPIC  246078672, 2MASS J23281238-0736132, EPIC 246078672, WISE J232812.40-073613.5"
K2-295,"2MASS 01182635+0649004, 2MASS J01182635+0649004, EPIC 220501947, WISE J011826.41+064900.3"
